id,observed_on,time_observed_at,url,image_url,description,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
739709,2014-06-14,2014-06-14 23:31:35 UTC,http://www.inaturalist.org/observations/739709,https://inaturalist-open-data.s3.amazonaws.com/photos/973786/medium.jpg,,50.116999,-117.520505,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
777260,2014-06-13,2014-06-13 23:23:42 UTC,http://www.inaturalist.org/observations/777260,https://inaturalist-open-data.s3.amazonaws.com/photos/976552/medium.jpg,"I'm just trying this app out, bears were as common as rabbits this week in Kickinghorse, blacks only. I was out walking a mining road and came across this eating some vegetation.",51.335322,-117.012581,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
785851,2014-07-10,,http://www.inaturalist.org/observations/785851,http://static.inaturalist.org/photos/987461/medium.jpg,,50.029074,-117.229322,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
813037,2012-07-03,2012-07-04 01:51:25 UTC,http://www.inaturalist.org/observations/813037,https://inaturalist-open-data.s3.amazonaws.com/photos/1025226/medium.JPG,,52.006026,-120.140137,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
826858,1995-07-06,,http://www.inaturalist.org/observations/826858,https://inaturalist-open-data.s3.amazonaws.com/photos/1043522/medium.jpg,,52.420686,-121.747625,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
865783,2014-05-17,,http://www.inaturalist.org/observations/865783,http://static.inaturalist.org/photos/1098352/medium.JPG,,59.855851,-129.177246,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
868077,2014-08-15,,http://www.inaturalist.org/observations/868077,https://inaturalist-open-data.s3.amazonaws.com/photos/1101502/medium.jpg,Tracks on the fine silt of the wetlands.,51.124751,-116.744521,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
893170,2006-08-04,2006-08-05 01:37:34 UTC,http://www.inaturalist.org/observations/893170,http://static.inaturalist.org/photos/1135240/medium.jpg,A terrible photo,48.960045,-125.599994,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
1130912,2014-09-21,2014-09-21 17:40:05 UTC,http://www.inaturalist.org/observations/1130912,https://inaturalist-open-data.s3.amazonaws.com/photos/1422264/medium.jpg,"We saw around 13 bears, with about six being 1st-year to 3rd-year cubs, and the rest being either loners or mothers. All adults are female.",51.13988532,-125.7517574,Grizzly Bear,Ursus arctos horribilis,Grizzly Bear,Mammalia,125461,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus arctos,,Ursus arctos horribilis,,
1404181,2007-07-26,,http://www.inaturalist.org/observations/1404181,https://inaturalist-open-data.s3.amazonaws.com/photos/1737010/medium.jpg,,53.263021,-121.329576,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
1499713,2015-05-16,2015-05-16 22:17:27 UTC,http://www.inaturalist.org/observations/1499713,https://inaturalist-open-data.s3.amazonaws.com/photos/1857443/medium.jpg,,49.49807671,-114.9991598,Grizzly Bear,Ursus arctos horribilis,Grizzly Bear,Mammalia,125461,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus arctos,,Ursus arctos horribilis,,
1499714,2015-05-16,2015-05-16 22:36:25 UTC,http://www.inaturalist.org/observations/1499714,https://inaturalist-open-data.s3.amazonaws.com/photos/1857446/medium.jpg,,49.429809,-114.89211,Ursus,Ursus,Holarctic Bears,Mammalia,41637,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,,,,,
1524211,2013-06-05,,http://www.inaturalist.org/observations/1524211,https://inaturalist-open-data.s3.amazonaws.com/photos/1888995/medium.JPG,"We were in a Zodiac in an estuary of The Khutzeymateen Grizzly Bear Sanctuary, British Columbia.  The grizzly is feeding on sedge grass",54.2050799,-130.2889248,Grizzly Bear,Ursus arctos horribilis,Grizzly Bear,Mammalia,125461,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus arctos,,Ursus arctos horribilis,,
1524323,2013-09-15,,http://www.inaturalist.org/observations/1524323,https://inaturalist-open-data.s3.amazonaws.com/photos/1889071/medium.JPG,"Kermode Bear or 'Spirit Bear' in The Great Bear Rainforest, the last remaining coastal rainforest in the northern hemisphere.  Feeding on a Pink.",54.31614,-130.32012,Kermode Bear,Ursus americanus kermodei,Kermode Bear,Mammalia,123749,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,Ursus americanus kermodei,,
1524515,2013-06-09,,http://www.inaturalist.org/observations/1524515,https://inaturalist-open-data.s3.amazonaws.com/photos/1889220/medium.JPG,"Kermode Bear walking a log looking for pink salmon on Gribble Island in the Great Bear Rainforest, the last coastal rainforest in the northern hemisphere.",53.428585,-128.987183,Kermode Bear,Ursus americanus kermodei,Kermode Bear,Mammalia,123749,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,Ursus americanus kermodei,,
1524904,2013-09-04,,http://www.inaturalist.org/observations/1524904,https://inaturalist-open-data.s3.amazonaws.com/photos/1889628/medium.JPG,"The Great Bear Rainforest, British Columbia.  This Kermode Bear is standing in a pool of spawning salmon.  He had no trouble catching them.",53.404424,-128.953125,Kermode Bear,Ursus americanus kermodei,Kermode Bear,Mammalia,123749,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,Ursus americanus kermodei,,
1556817,2013-09-14,,http://www.inaturalist.org/observations/1556817,https://inaturalist-open-data.s3.amazonaws.com/photos/1927332/medium.JPG,"In the pristine Great Bear Rainforest in British Columbia, this rare black bear with a recessed gene has a white coat. It is not an albino.",54.31614,-130.32012,Kermode Bear,Ursus americanus kermodei,Kermode Bear,Mammalia,123749,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,Ursus americanus kermodei,,
1556840,2012-09-13,,http://www.inaturalist.org/observations/1556840,https://inaturalist-open-data.s3.amazonaws.com/photos/1927354/medium.jpg,In the pristine Great Bear Rainforest in British Columbia is the last remaining coastal rainforest in the northern hemisphere.  Here we find the black bear with a recessive gene cause a few to have white coats.  This is not an albino.,54.31614,-130.32012,Kermode Bear,Ursus americanus kermodei,Kermode Bear,Mammalia,123749,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,Ursus americanus kermodei,,
1556861,2013-09-15,,http://www.inaturalist.org/observations/1556861,https://inaturalist-open-data.s3.amazonaws.com/photos/1927383/medium.jpg,"In the pristine Great Bear Rainforest in British Columbia, the rare Kermode or Spirit Bear is found.  It is an American Black Bear with a recessive gene causing a very few to have a white coat.  This Kermode is watching salmon spawning in Riordan Creek.",54.31614,-130.32012,Kermode Bear,Ursus americanus kermodei,Kermode Bear,Mammalia,123749,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,Ursus americanus kermodei,,
1628442,2015-06-13,,http://www.inaturalist.org/observations/1628442,https://inaturalist-open-data.s3.amazonaws.com/photos/1997991/medium.jpeg,lone cub at the roadside,48.421619,-124.049608,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
1747466,2015-06-19,2015-06-19 14:52:21 UTC,http://www.inaturalist.org/observations/1747466,https://inaturalist-open-data.s3.amazonaws.com/photos/2120262/medium.jpg,"Grizzly Bear (Ursus arctos) near Lucerne, Mt. Robson Provincial Park, British Columbia. Feeding on dandelion on southside of HWY16. 

*note: photo taken at quite a distance (from inside a truck)",52.96907791,-118.795712,Grizzly Bear,Ursus arctos horribilis,Grizzly Bear,Mammalia,125461,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus arctos,,Ursus arctos horribilis,,
1875318,2015-08-11,,http://www.inaturalist.org/observations/1875318,https://inaturalist-open-data.s3.amazonaws.com/photos/2284806/medium.JPG,,49.344885,-119.571493,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
1875351,2015-08-11,,http://www.inaturalist.org/observations/1875351,https://inaturalist-open-data.s3.amazonaws.com/photos/2284672/medium.JPG,,49.344885,-119.571493,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
1890216,2015-08-23,2015-08-23 18:45:25 UTC,http://www.inaturalist.org/observations/1890216,https://inaturalist-open-data.s3.amazonaws.com/photos/2305140/medium.jpg,,50.316229,-122.764598,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
1964798,2015-08-22,2015-08-22 21:00:28 UTC,http://www.inaturalist.org/observations/1964798,http://static.inaturalist.org/photos/2407245/medium.jpg,,56.038478,-121.951902,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
2075427,2015-10-03,2015-10-04 00:39:10 UTC,http://www.inaturalist.org/observations/2075427,https://inaturalist-open-data.s3.amazonaws.com/photos/2480470/medium.jpg,,49.3250232,-122.4582688,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
2119517,2015-10-02,,http://www.inaturalist.org/observations/2119517,https://inaturalist-open-data.s3.amazonaws.com/photos/2529342/medium.jpg,"A scat pile, I used my sunglasses for scale. Mostly grass and not a typical herbivore pellet formation. Probably a small black bear.",49.099373,-121.458911,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
2329385,2015-07-01,,http://www.inaturalist.org/observations/2329385,https://inaturalist-open-data.s3.amazonaws.com/photos/2583313/medium.jpg,With two cubs,52.82429539,-118.5115469,Grizzly Bear,Ursus arctos horribilis,Grizzly Bear,Mammalia,125461,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus arctos,,Ursus arctos horribilis,,
2343995,2015-11-02,2015-11-02 22:45:42 UTC,http://inaturalist.ca/observations/2343995,https://inaturalist-open-data.s3.amazonaws.com/photos/2602313/medium.JPG,Heard some rustling in the bushes and twigs snapping. About 40 metres away we saw a small black bear Climbing up a large Douglas fir. He stopped about 15 metres up the tree. We kept on going down the trail. When we returned about 15 minutes later he was gone.,49.075215,-123.873596,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
2391411,2015-10-03,2015-10-03 18:28:20 UTC,http://inaturalist.ca/observations/2391411,https://inaturalist-open-data.s3.amazonaws.com/photos/2663756/medium.JPG,,48.832044,-124.042779,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
2734224,2016-02-23,2016-02-23 19:48:25 UTC,http://inaturalist.ca/observations/2734224,https://inaturalist-open-data.s3.amazonaws.com/photos/3085431/medium.jpeg,My first contribution here! I wasn't expecting to see a black bear this early. This one caught me off guard... ,49.25782211,-122.8278626,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
2750198,1999-07-08,,http://www.inaturalist.org/observations/2750198,https://inaturalist-open-data.s3.amazonaws.com/photos/3292154/medium.jpg,Juvenile.,48.501274,-124.277344,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
2997738,2014-08-20,,http://inaturalist.ca/observations/2997738,https://inaturalist-open-data.s3.amazonaws.com/photos/3447523/medium.jpg,fishing for Kokanee Salmon in the spawning channel,49.609198,-117.131767,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
2997775,2014-09-10,,http://inaturalist.ca/observations/2997775,https://inaturalist-open-data.s3.amazonaws.com/photos/3447576/medium.jpg,Black bear sow and cub fished on the spawning channel until late september when the Kokanee died off.  They were captured on trail cameras along the channel (the photo is a camera capture),49.609198,-117.131767,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
2999019,2011-09-13,,http://inaturalist.ca/observations/2999019,https://inaturalist-open-data.s3.amazonaws.com/photos/3449197/medium.jpg,Black bear fishing for Kokanee Salmon in the spawning channel,49.613201,-117.125587,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
2999063,2015-09-23,,http://inaturalist.ca/observations/2999063,https://inaturalist-open-data.s3.amazonaws.com/photos/3449246/medium.jpg,A black black bear sow and her brown cub frequented the spawning channel in 2015 once the Kokanee came in.  There was also a single black black bear.  All were captured on trail cams.,49.613201,-117.125587,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
3050672,2016-04-24,2016-04-25 01:46:57 UTC,http://www.inaturalist.org/observations/3050672,http://static.inaturalist.org/photos/3513797/medium.jpg,,54.66465828,-126.9017154,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
3176517,2016-05-14,2016-05-14 21:08:32 UTC,http://www.inaturalist.org/observations/3176517,http://static.inaturalist.org/photos/3673534/medium.jpg,,54.40312726,-126.6544995,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
3184529,2016-05-15,2016-05-15 19:17:39 UTC,http://inaturalist.ca/observations/3184529,https://inaturalist-open-data.s3.amazonaws.com/photos/3684669/medium.jpeg,,49.39679078,-123.2043418,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
3191308,2016-05-15,2016-05-15 19:27:25 UTC,http://www.inaturalist.org/observations/3191308,https://inaturalist-open-data.s3.amazonaws.com/photos/3693628/medium.jpeg,,49.3975265,-123.205002,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
3343451,2016-05-23,,http://inaturalist.ca/observations/3343451,https://inaturalist-open-data.s3.amazonaws.com/photos/3860923/medium.JPG,Eating Sedges and Clams along the shoreline,54.62447038,-129.9942824,Grizzly Bear,Ursus arctos horribilis,Grizzly Bear,Mammalia,125461,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus arctos,,Ursus arctos horribilis,,
3343572,2016-05-23,,http://inaturalist.ca/observations/3343572,https://inaturalist-open-data.s3.amazonaws.com/photos/3861057/medium.JPG,,54.50689131,-129.986994,Grizzly Bear,Ursus arctos horribilis,Grizzly Bear,Mammalia,125461,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus arctos,,Ursus arctos horribilis,,
3343612,2016-05-24,,http://inaturalist.ca/observations/3343612,https://inaturalist-open-data.s3.amazonaws.com/photos/3861120/medium.JPG,,54.76762849,-129.874706,Grizzly Bear,Ursus arctos horribilis,Grizzly Bear,Mammalia,125461,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus arctos,,Ursus arctos horribilis,,
3345699,2016-05-25,,http://inaturalist.ca/observations/3345699,https://inaturalist-open-data.s3.amazonaws.com/photos/3864124/medium.JPG,,54.67537797,-129.850972,Grizzly Bear,Ursus arctos horribilis,Grizzly Bear,Mammalia,125461,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus arctos,,Ursus arctos horribilis,,
3345719,2016-05-25,,http://inaturalist.ca/observations/3345719,https://inaturalist-open-data.s3.amazonaws.com/photos/3864187/medium.JPG,,54.77920883,-129.8896108,Grizzly Bear,Ursus arctos horribilis,Grizzly Bear,Mammalia,125461,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus arctos,,Ursus arctos horribilis,,
3358916,2016-05-23,,http://inaturalist.ca/observations/3358916,https://inaturalist-open-data.s3.amazonaws.com/photos/3879059/medium.JPG,,54.7739828,-129.9614998,Grizzly Bear,Ursus arctos horribilis,Grizzly Bear,Mammalia,125461,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus arctos,,Ursus arctos horribilis,,
3449816,2016-06-12,,http://inaturalist.ca/observations/3449816,https://inaturalist-open-data.s3.amazonaws.com/photos/4001999/medium.jpg,Two black bears: one cinnamon coloured smaller bear and one larger black coloured larger bear.  They may be the sow and cub that fed on Kokanee Salmon on the spawning channel last year.  Feeding on various shrubs.,49.603858,-117.123528,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
3689462,2016-07-16,2016-07-16 10:06:00 UTC,http://www.inaturalist.org/observations/3689462,https://inaturalist-open-data.s3.amazonaws.com/photos/4279858/medium.jpg,          juvenile,49.293347,-122.694204,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
3778864,2016-07-25,,http://www.inaturalist.org/observations/3778864,https://inaturalist-open-data.s3.amazonaws.com/photos/4407128/medium.jpeg,,59.661552,-135.092778,Brown Bear,Ursus arctos,Brown Bear,Mammalia,41641,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus arctos,,,,
3805817,2016-08-04,2016-08-04 11:34:00 UTC,http://www.inaturalist.org/observations/3805817,https://inaturalist-open-data.s3.amazonaws.com/photos/4446412/medium.jpg,          ,49.3237408,-117.6593341,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
3862622,2015-09-06,2015-09-06 15:55:00 UTC,http://www.inaturalist.org/observations/3862622,https://inaturalist-open-data.s3.amazonaws.com/photos/4526337/medium.jpg,,48.70857433,-124.1812134,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
